	Quotes	Themes
277	RONALD: Drink? No, I don't honestly think so. She's always liked a—I mean, the doctor did say she should lay off. But that was only because it was acting as a stimulant—She hasn't touched it lately. 	"[""the-middle-class"", ""materialism"", ""gender-roles""]"
278	Crying adds something: crying is you, plus tears. But the feeling Colin had was some horrible opposite of crying. It was you, minus something.	"[""self-actualization"", ""romantic-love""]"
279	All I ever wanted was for her to love me and to do something meaningful with my life.	"[""achievement-and-mortality"", ""self-actualization"", ""storytelling"", ""plans-change-and-growth"", ""romantic-love""]"
280	Driving was a kind of thinking, the only kind he could then tolerate. But still the thought lurked out there, just beyond the reach of his headlights: he’d been dumped. By a girl named Katherine. For the nineteenth time.	"[""achievement-and-mortality"", ""storytelling"", ""romantic-love""]"
281	Shit, Colin made a funny. This place is like magic for you. Shame about how we’re gonna die here, though. I mean, seriously. An Arab and a half-Jew enter a store in Tennessee. It’s the beginning of a joke, and the punchline is “sodomy.”	"[""plans-change-and-growth""]"
282	[Y]ou can see into the future if you have a basic understanding of how people are likely to act.	"[""achievement-and-mortality"", ""storytelling"", ""plans-change-and-growth"", ""romantic-love""]"
283	Like it or not, Colin thought, road trips have destinations.	"[""achievement-and-mortality"", ""storytelling"", ""plans-change-and-growth""]"
284	Authors never included the whole story; they just got to the point. Colin thought the truth should matter as much as the point, and he figured that was why he couldn’t tell good stories.	"[""storytelling"", ""plans-change-and-growth""]"
285	The missing piece in his stomach hurt so much – and eventually he stopped thinking about the Theorem and wondered only how something that isn’t there can hurt you.	"[""self-actualization"", ""storytelling"", ""plans-change-and-growth"", ""romantic-love""]"
286	You’re not boring. You’ve got to stop saying that, or people will start believing you.	"[""storytelling"", ""plans-change-and-growth""]"
287	“It’s funny, what people will do to be remembered.”	"[""achievement-and-mortality"", ""self-actualization"", ""storytelling"", ""plans-change-and-growth""]"
288	As the staggered lines rushed past him, he thought about the space between what we remember and what happened, the space between what we predict and what will happen. And in that space, Colin thought, there was room enough to reinvent himself – room enough to make himself into something other than a prodigy, to remake his story better and different – room enough to be reborn again and again….There was room enough to be anyone – anyone except whom he’d already been, for if Colin had learned one thing from Gutshot, it’s that you can’t stop the future from coming. And for the first time in his life, he smiled thinking about the always-coming infinite future stretching out before him.	"[""achievement-and-mortality"", ""self-actualization"", ""storytelling"", ""plans-change-and-growth"", ""romantic-love""]"
289	…working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual, and even the fantastic.	"[""fate-and-justice""]"
290	Thus far the history of my life presents nothing whatever unusual—nothing but the common hopes, and loves, and labors of an obscure colored man, making his humble progress in the world […] Now I had approached within the shadow of the cloud, into the thick darkness whereof I was soon to disappear, thenceforward to be hidden from the eyes of all my kindred, and shut out from the sweet light of liberty, for many a weary year.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
291	The idea struck me as a prudent one, though I think it would scarcely have occurred to me, had they not proposed it […] I must confess, that the papers were scarcely worth the cost of obtaining them—the apprehension of danger to my personal safety never having suggested itself to me in the remotest manner.	"[""racism-and-slavery"", ""truth-and-justice""]"
292	Though suspicions of Brown and Hamilton were not unfrequent, I could not reconcile myself to the idea that they were instrumental to my imprisonment. Surely they would seek me out—they would deliver me from thraldom. Alas! I had not then learned the measure “man’s inhumanity to man,” nor to what limitless extent of wickedness he will go for the love of gain.	"[""racism-and-slavery"", ""truth-and-justice""]"
293	So we passed, hand-cuffed and in silence, through the streets of Washington—though the Capital of a nation, whose theory of government, we are told, rests on the foundation of man’s inalienable right to life, LIBERTY, and the pursuit of happiness! Hail! Columbia, happy land indeed! 	"[""racism-and-slavery"", ""truth-and-justice""]"
294	My cup of sorrow was full to overflowing. Then I lifted up my hands to God, and in the still watches of the night […] begged for mercy on the poor, forsaken captive. To the Almighty Father of us all—the freeman and the slave—I poured forth the supplications of a broken spirit, imploring strength from on high to bear up against the burden of my troubles […].	"[""racism-and-slavery"", ""family"", ""christianity""]"
295	He would make us hold up our heads, walk briskly back and forth, while customers would feel of our hands and arms and bodies, turn us about, ask us what we could do, make us open our mouths and show our teeth, precisely as a jockey examines a horse which he is about to barter for or purchase. 	"[""racism-and-slavery""]"
296	The influences and associations that had always surrounded him, blinded him to the inherent wrong at the bottom of the system of Slavery. He never doubted the moral right of one man holding another in subjection. Looking through the same medium with his fathers before him, he saw things in the same light. Brought up under other circumstances and influences, his notions would undoubtedly have been different.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
297	He was my master, entitled by law to my flesh and blood, and to exercise over me such tyrannical control as his mean nature prompted; but there was no law that could prevent my looking upon him with intense contempt.	"[""racism-and-slavery"", ""truth-and-justice""]"
